Supercharger Mode,RPM,MP [inHg],Pengine [bhp],Altitude [ft],Vz [ft/min],TAS solved [mph],Pitch angle [deg],J,Etap,Consumption [L/h],Mach Blade Tip,thetas [deg]
Low blower,3000,60.5,1500,0,3600,226.3288946167104,28.913980304110684,1.2477256017937381,0.8763917018940373,563.4628898769985,0.8055790844289875,10.413485082765627
Low blower,3000,60.5,1510,5000,3570,241.76947556381504,30.81463396602442,1.332847778468959,0.8811710974580215,567.2202206695733,0.8276361588812485,9.659753996449828
Low blower,3000,60.5,1525,10000,3540,259.5308127930679,32.93272731775117,1.4307640220867321,0.8860381134313372,572.8562168584352,0.8525091862369529,8.916795525458385
Low blower,3000,60.5,1510,13000,3520,264.31812476996544,33.76118496454361,1.4571559316458915,0.8885049088355014,567.2202206695733,0.864862966097924,8.704171745090441
High blower,3000,60.5,1320,17400,2965,263.277044681944,33.75304156731578,1.4514165748503671,0.8886323753324661,513.6740584541853,0.8789850072549933,7.352657211163579
High blower,3000,60.5,1310,20000,2915,270.176842669077,34.7266539230663,1.4894543808951068,0.8904700225100232,509.7820110393559,0.8921852923253444,7.042461699703768
High blower,3000,60.5,1260,26000,2780,273.1477367512297,36.26222259777435,1.5058325840087523,0.889148514692614,490.3217739652087,0.916172958886924,6.641407481041899
High blower,3000,51.6,1075,30000,2125,277.6974553218358,36.384116991985195,1.5309146679870942,0.8910836524141396,418.3188967908642,0.9348297938605401,4.988567338563206
High blower,3000,41.8,850,35000,1280,286.54758073648145,36.50012075359087,1.579704408588441,0.8934378455615408,330.74782995720193,0.9616765651668914,2.909644075359067
High blower,3000,32.8,630,40000,450,266.88780820315617,34.87911050556868,1.4713223058224065,0.8899542023692726,245.12278683095437,0.9534437926011652,1.0978684765080262
